objectid,ID,IGSID,title,CommodityList,CompanyList,longitude,latitude,DMSlon,DMSlat,WGS84lon,WGS84lat,q24k,q100k,q250k,plss,plssTOWNSHIP,plssRANGE,plssSECTION,plssQQSECTION,plssQSECTION,CountyName,SurfaceManagementAgency,FSAgencyName,OrangeNumber,ZIP,MiningDistrict,Placer,Underground,Surface,Drilled,Producer,Processing,LocationType,NameWeb,CommodityWeb,CompanyWeb,WebMercLon,WebMercLat,type,format,display_template,image_small,image_thumb,object_location
AS0026,26,AS0026,Cinder Pits,cinders (volcanic),,-111.82,44.02,"111° 49' 17.48316000"" W","44° 01' 30.51148800"" N",-111.82,44.02,Big Grassy Ridge SE,Ashton,Ashton,08N 39E NENE,08N,39E,14,NENE,NE,Fremont,PRIVATE;BLM-Idaho Falls District,BLM-Idaho Falls District,23,83445,,0,0,0,0,0,0,1,|Cinder Pits|,|cinders (volcanic)|,,-111.82,44.02,text,record,record,,,
AS0027,27,AS0027,Dry Fork Garnet Prospect,garnet,,-111.32,44.66,"111° 19' 21.45457200"" W","44° 39' 43.48954800"" N",-111.32,44.66,Targhee Pass,Hebgen Lake,Ashton,16N 43E SWSE,16N,43E,36,SWSE,SE,Fremont,STATE;PUBLIC SCHOOLS;Caribou-Targhee NF,Caribou-Targhee NF,,83429,,0,0,0,0,0,0,1,|Dry Fork Garnet Prospect|,|garnet|,,-111.32,44.66,text,record,record,,,
AS0028,28,AS0028,Lynx Prospect,,,-111.33,44.65,"111° 20' 17.47168800"" W","44° 39' 01.65747600"" N",-111.33,44.65,Targhee Pass,Hebgen Lake,Ashton,15N 43E SESE,15N,43E,2,SESE,SE,Fremont,PRIVATE;Caribou-Targhee NF,Caribou-Targhee NF,,83429,,0,0,0,0,0,0,0,|Lynx Prospect|,,,-111.33,44.65,text,record,record,,,
AS0029,29,AS0029,Yellow Bird,,,-111.11,44,"111° 06' 52.92000000"" W","44° 00' 17.28000000"" N",-111.11,44,Sheep Falls,Ashton,Ashton,08N 45E NESW,08N,45E,23,NESW,SW,Fremont,USFS;Caribou-Targhee NF,,,83420,,1,0,0,0,0,0,0,|Yellow Bird|,,,-111.11,44,text,record,record,,,
AS0030,30,AS0030,Road Gravel Pit,stone,,-111.44,44.69,"111° 26' 56.76000000"" W","44° 41' 35.88000000"" N",-111.44,44.69,Targhee Peak,Hebgen Lake,Ashton,16N 42E SESW,16N,42E,24,SESW,SW,Fremont,PRIVATE;Caribou-Targhee NF,,,83429,,0,0,1,0,0,0,1,|Road Gravel Pit|,|stone|,,-111.44,44.69,text,record,record,,,
BA0001,31,BA0001,Indian Creek,gold; copper,,-116.76,45.04,"116° 46' 06.04484400"" W","45° 02' 54.35282400"" N",-116.76,45.04,Homestead,Riggins,Grangeville,20N 04W NWNE,20N,04W,25,NWNE,NE,Adams,USFS;Payette NF,Payette NF,1,83612,Seven Devils,0,0,0,0,0,0,1,|Indian Creek|,|gold|copper|,,-116.76,45.04,text,record,record,,,
BA0002,32,BA0002,Unnamed location,lead; zinc,,-116.82,44.97,"116° 49' 35.92682400"" W","44° 58' 34.39700400"" N",-116.82,44.97,Oxbow,Mc Call,Baker,19N 04W NWNE,19N,04W,21,NWNE,NE,Adams,BLM;Payette NF,Payette NF,143,83612,Seven Devils,0,0,0,0,0,0,0,|Unnamed location|,|lead|zinc|,,-116.82,44.97,text,record,record,,,
BA0003,33,BA0003,Lucky Strike Mine,copper,,-116.81,44.97,"116° 49' 10.00610400"" W","44° 58' 33.31718400"" N",-116.81,44.97,Oxbow,Mc Call,Baker,19N 04W NWNW,19N,04W,22,NWNW,NW,Adams,BLM;Payette NF,Payette NF,2,83612,Seven Devils,0,1,0,0,0,0,0,|Lucky Strike Mine|,|copper|,,-116.81,44.97,text,record,record,,,
BA0004,34,BA0004,Rebound,copper; gold; zinc; lead; silver,,-116.62,44.9,"116° 37' 31.94274000"" W","44° 54' 00.44416800"" N",-116.62,44.9,Rocky Comfort Flat,Mc Call,Baker,18N 02W SWNE,18N,02W,18,SWNE,NE,Adams,USFS;Payette NF,Payette NF,3,83612,,0,0,0,0,0,0,0,|Rebound|,|copper|gold|zinc|lead|silver|,,-116.62,44.9,text,record,record,,,
BA0005,35,BA0005,Black Jack Nos. 1 & 2,manganese,,-116.64,44.89,"116° 38' 43.94428800"" W","44° 53' 31.28384400"" N",-116.64,44.89,Rocky Comfort Flat,Mc Call,Baker,18N 03W SWSE,18N,03W,13,SWSE,SE,Adams,USFS;Payette NF,Payette NF,144,83612,,0,0,0,0,0,0,0,|Black Jack Nos. 1 & 2|,|manganese|,,-116.64,44.89,text,record,record,,,
BA0006,36,BA0006,North Hornet Mine,uranium; gold; tantalum; niobium; abrasives; cerium; rare-earths,,-116.63,44.89,"116° 38' 21.01160400"" W","44° 53' 26.35206000"" N",-116.63,44.89,Rocky Comfort Flat,Mc Call,Baker,18N 03W SESE,18N,03W,13,SESE,SE,Adams,USFS;Payette NF,Payette NF,4,83612,,0,1,0,0,1,1,1,|North Hornet Mine|,|uranium|gold|tantalum|niobium|abrasives|cerium|rare-earths|,,-116.63,44.89,text,record,record,,,
BA0007,37,BA0007,Summit Placers,gold,,-116.62,44.87,"116° 37' 44.18194800"" W","44° 52' 44.48460000"" N",-116.62,44.87,Rocky Comfort Flat,Mc Call,Baker,18N 02W NESW,18N,02W,19,NESW,SW,Adams,USFS;Payette NF,Payette NF,6,83612,,0,0,0,0,0,0,0,|Summit Placers|,|gold|,,-116.62,44.87,text,record,record,,,
BA0008,38,BA0008,"Inspiration Barite Deposit, Council Barite, Nelson Barite, Keystone",barite,Ruby,-116.52,44.9,"116° 31' 32.00516400"" W","44° 54' 29.35461600"" N",-116.52,44.9,Weasel Gulch,Mc Call,Baker,18N 02W NESW,18N,02W,12,NESW,SW,Adams,USFS;Payette NF,Payette NF,141,83612,,0,0,0,0,0,0,1,|Inspiration Barite Deposit|Council Barite|Nelson Barite|Keystone|,|barite|,|Ruby|,-116.52,44.9,text,record,record,,,
BA0009,39,BA0009,"Hornet Creek Prospect, Peck Mountain, North Hornet Creek, Deck Mountain",copper; gold; silver,,-116.59,44.87,"116° 35' 41.05834800"" W","44° 52' 31.52560800"" N",-116.59,44.87,Weasel Gulch,Mc Call,Baker,18N 02W SWSW,18N,02W,21,SWSW,SW,Adams,USFS;Payette NF,Payette NF,5,83612,Hornet Creek,0,1,0,0,0,0,0,|Hornet Creek Prospect|Peck Mountain|North Hornet Creek|Deck Mountain|,|copper|gold|silver|,,-116.59,44.87,text,record,record,,,
BA0010,40,BA0010,"Red Iron, Red Iron Group",iron; silver; copper; gold,,-116.6,44.85,"116° 36' 14.17813200"" W","44° 51' 12.32589600"" N",-116.6,44.85,Peck Mountain,Mc Call,Baker,18N 02W SWNE,18N,02W,32,SWNE,NE,Adams,USFS;Payette NF,Payette NF,7,83612,Hornet Creek,0,1,0,0,0,0,0,|Red Iron|Red Iron Group|,|iron|silver|copper|gold|,,-116.6,44.85,text,record,record,,,
BA0011,41,BA0011,"Idaho, Idaho Group",gold; silver,,-116.63,44.79,"116° 38' 18.01863600"" W","44° 47' 50.36640000"" N",-116.63,44.79,Crooked River Point,Mc Call,Baker,17N 03W SENE,17N,03W,24,SENE,NE,Washington,STATE;SCHOOL OF SCIENCE;Payette NF,Payette NF,142,83610,Cuddy Mountain,0,1,0,0,0,0,0,|Idaho|Idaho Group|,|gold|silver|,,-116.63,44.79,text,record,record,,,
BA0012,42,BA0012,"Red Boy and Lucky Star, Lucky Star",gold,,-116.63,44.78,"116° 38' 24.13831200"" W","44° 47' 17.24658000"" N",-116.64,44.78,Crooked River Point,Mc Call,Baker,17N 03W SESE,17N,03W,24,SESE,SE,Washington,STATE;SCHOOL OF SCIENCE;Payette NF,Payette NF,177,83610,Cuddy Mountain,0,0,0,0,0,0,0,|Red Boy and Lucky Star|Lucky Star|,|gold|,,-116.64,44.78,text,record,record,,,
BA0013,43,BA0013,Kismet Prospect,copper; molybdenum; zinc; gold; silver; lead,Kismet,-116.69,44.8,"116° 41' 28.03214400"" W","44° 48' 06.34888800"" N",-116.69,44.8,Crooked River Point,Mc Call,Baker,17N 03W NWNW,17N,03W,22,NWNW,NW,Washington,STATE;SCHOOL OF SCIENCE;Payette NF,Payette NF,25,83610,Cuddy Mountain,0,1,0,0,0,0,1,|Kismet Prospect|,|copper|molybdenum|zinc|gold|silver|lead|,|Kismet|,-116.69,44.8,text,record,record,,,
BA0014,44,BA0014,Unnamed prospect,,,-116.72,44.82,"116° 43' 38.06875200"" W","44° 49' 17.48344800"" N",-116.72,44.82,Crooked River Point,Mc Call,Baker,17N 03W NESW,17N,03W,8,NESW,SW,Washington,USFS;Payette NF,Payette NF,28,83610,,0,0,0,0,0,0,0,|Unnamed prospect|,,,-116.72,44.82,text,record,record,,,
BA0015,45,BA0015,"Cuddy Mine, Freeze Prospect, Cuddy Mountain Mine, Last Chance, Z-Group, Z claim groups, Z Mineral Claims",silver; gold; copper; iron,Aries Resources; Cuddy Mountain Gold,-116.73,44.81,"116° 44' 01.03682400"" W","44° 48' 38.35155600"" N",-116.73,44.81,Crooked River Point,Mc Call,Baker,17N 03W SWNW,17N,03W,17,SWNW,NW,Washington,USFS;Payette NF,Payette NF,26,83610,,0,1,0,0,1,0,1,|Cuddy Mine|Freeze Prospect|Cuddy Mountain Mine|Last Chance|Z-Group|Z claim groups|Z Mineral Claims|,|silver|gold|copper|iron|,|Aries Resources|Cuddy Mountain Gold|,-116.73,44.81,text,record,record,,,
BA0016,46,BA0016,Scrivens Lead Prospect,lead,,-116.74,44.82,"116° 44' 47.19058800"" W","44° 49' 12.44298000"" N",-116.74,44.82,Crooked River Point,Mc Call,Baker,17N 03W SWSE,17N,03W,7,SWSE,SE,Washington,USFS;Payette NF,Payette NF,29,83610,,0,0,0,0,0,0,0,|Scrivens Lead Prospect|,|lead|,,-116.74,44.82,text,record,record,,,
BA0017,47,BA0017,"Keystone, Galena, Lead Zone Mine, Salena, Galena Mountain",lead; silver; zinc; copper; gold,Lead Zone Mining; Mundee Mines; Anglo-Bomarc Mines; Lead Zone Mining; Mundee Mines,-116.75,44.81,"116° 45' 35.03584800"" W","44° 49' 06.35865600"" N",-116.75,44.81,Cuddy Mountain,Mc Call,Baker,17N 04W SESE,17N,04W,12,SESE,SE,Washington,PRIVATE;Payette NF,Payette NF,30,83610,,0,1,0,0,1,0,1,|Keystone|Galena|Lead Zone Mine|Salena|Galena Mountain|,|lead|silver|zinc|copper|gold|,|Lead Zone Mining|Mundee Mines|Anglo-Bomarc Mines|Lead Zone Mining|Mundee Mines|,-116.75,44.81,text,record,record,,,
BA0018,48,BA0018,"Edna May Prospect, Snowslide, Mundee Mines",silver; gold; copper; zinc; lead,Edna May Mining,-116.76,44.8,"116° 46' 00.01977600"" W","44° 48' 15.34683600"" N",-116.76,44.8,Cuddy Mountain,Mc Call,Baker,17N 04W SWSE,17N,04W,13,SWSE,SE,Washington,USFS;Payette NF,Payette NF,31,83610,,0,1,0,0,1,0,1,|Edna May Prospect|Snowslide|Mundee Mines|,|silver|gold|copper|zinc|lead|,|Edna May Mining|,-116.76,44.8,text,record,record,,,
BA0019,49,BA0019,"Riley Prospect, J. C. Riley",silver,,-116.78,44.78,"116° 46' 54.99231600"" W","44° 47' 08.24290800"" N",-116.78,44.78,Cuddy Mountain,Mc Call,Baker,17N 04W NENE,17N,04W,26,NENE,NE,Washington,USFS;Payette NF,Payette NF,34,83610,,0,0,0,0,0,0,0,|Riley Prospect|J. C. Riley|,|silver|,,-116.78,44.78,text,record,record,,,
BA0020,50,BA0020,"Thor Property, Jug Group",lead; gold; zinc,Thor Exploration,-116.81,44.77,"116° 48' 52.03116000"" W","44° 46' 40.37822400"" N",-116.81,44.77,Cuddy Mountain,Mc Call,Baker,17N 04W NWSW,17N,04W,27,NWSW,SW,Washington,USFS;Payette NF,Payette NF,33,83610,,0,0,0,0,0,0,1,|Thor Property|Jug Group|,|lead|gold|zinc|,|Thor Exploration|,-116.81,44.77,text,record,record,,,
BA0021,51,BA0021,Dukes Creek,manganese,,-116.88,44.82,"116° 52' 53.92444800"" W","44° 49' 39.43916400"" N",-116.88,44.82,Brownlee Dam,Mc Call,Baker,17N 05W SENE,17N,05W,12,SENE,NE,Washington,STATEFG;DEPT. OF F. & G.;Payette NF,Payette NF,156,83610,,0,0,0,0,0,0,0,|Dukes Creek|,|manganese|,,-116.88,44.82,text,record,record,,,
BA0022,52,BA0022,"Brownlee Manganese Prospect, Brownlee Creek Deposit",manganese; iron; molybdenum,,-116.86,44.78,"116° 51' 54.16077600"" W","44° 47' 21.20060400"" N",-116.86,44.78,Cuddy Mountain,Mc Call,Baker,17N 04W SWSE,17N,04W,19,SWSE,SE,Washington,USFS;Payette NF,Payette NF,40,83610,,0,0,0,0,0,0,0,|Brownlee Manganese Prospect|Brownlee Creek Deposit|,|manganese|iron|molybdenum|,,-116.86,44.78,text,record,record,,,
BA0023,53,BA0023,"Grade Creek Prospect, Mammoth Mine, Montezuma",lead; silver; copper; gold; zinc,,-116.84,44.77,"116° 50' 42.15800400"" W","44° 46' 26.48150400"" N",-116.84,44.77,Cuddy Mountain,Mc Call,Baker,17N 04W SWSE,17N,04W,29,SWSE,SE,Washington,USFS;Payette NF,Payette NF,48,83610,,0,1,0,0,0,0,0,|Grade Creek Prospect|Mammoth Mine|Montezuma|,|lead|silver|copper|gold|zinc|,,-116.84,44.77,text,record,record,,,
BA0024,54,BA0024,"Hercules Group, Fish Pond, Hercules Mine",silver; zinc; gold; copper; lead,Amoco Minerals; Anglo-Bomarc; Anglo-Bomarc Mines; Anglo-Bomarc Mines (US); Anglo-Bomarc Mines (US) and Grand Trunk Resources; Anglo-Bomarc Mines (US) Limited; Canadian Superior Mining (U.S.); Canadian Superior Mining (U.S.) Limited; Grand Trunk Resources; Scholz International Mining; Sunshine Mining Company; Superior Mining,-116.85,44.76,"116° 51' 38.03108400"" W","44° 45' 55.37732400"" N",-116.86,44.76,Cuddy Mountain,Mc Call,Baker,17N 04W NESE,17N,04W,31,NESE,SE,Washington,BLM;Payette NF,Payette NF,50,83610,,0,1,0,0,0,0,1,|Hercules Group|Fish Pond|Hercules Mine|,|silver|zinc|gold|copper|lead|,|Amoco Minerals|Anglo-Bomarc|Anglo-Bomarc Mines|Anglo-Bomarc Mines (US)|Anglo-Bomarc Mines (US) and Grand Trunk Resources|Anglo-Bomarc Mines (US) Limited|Canadian Superior Mining (U.S.)|Canadian Superior Mining (U.S.) Limited|Grand Trunk Resources|Scholz International Mining|Sunshine Mining Company|Superior Mining|,-116.86,44.76,text,record,record,,,
